run_id,dataset_id,method_id,noise_condition_id,noise_sigma,replication_id,perturbation_seed,data_seed,status,scientific_evidence_eligible,primary_stability_eligible,bottleneck_distance,wasserstein_distance,coverage_fraction,n_nodes,n_edges,n_components,beta_0_graph,beta_1_graph,beta_0_nerve,beta_1_nerve,wall_time_seconds,cpu_time_seconds
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep14__f0d6aeedc83e5774,swiss_roll_with_hole,conventional,sigma_0.01,0.01,14,1854444729.0,42,success,True,True,0.2895671519941416,0.5923127785940228,0.9553770638107988,144.0,62.0,82.0,82.0,0.0,82.0,0.0,0.03395758599981491,0.033937026999993236
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep14__a82355fb06d6d729,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,14,1854444729.0,42,success,True,True,0.6002815043710008,1.2042227409011517,0.9553770638107988,124.0,42.0,82.0,82.0,0.0,82.0,0.0,5.191465246000007,5.190622675
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep15__a683d5bf879c35f0,swiss_roll_with_hole,conventional,sigma_0.01,0.01,15,883393200.0,42,success,True,True,0.22629995535611513,1.471654074643677,0.9526996876394467,144.0,61.0,83.0,83.0,0.0,83.0,0.0,0.030641915999694902,0.03064115799999456
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep15__9d6a7fecfc8e56a5,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,15,883393200.0,42,success,True,True,0.6471357646722518,1.1032073582310908,0.9526996876394467,129.0,46.0,83.0,83.0,0.0,83.0,0.0,5.204040569999961,5.2032073650000115
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep16__aec65931afbe4455,swiss_roll_with_hole,conventional,sigma_0.01,0.01,16,625918766.0,42,success,True,True,0.3839930855690987,1.4817346387878443,0.9562695225345827,139.0,59.0,80.0,80.0,0.0,80.0,0.0,0.030768648999583093,0.030767967000002727
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep16__b92072eea25db043,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,16,625918766.0,42,success,True,True,0.431587913983833,1.3743038187068493,0.9562695225345827,123.0,43.0,80.0,80.0,0.0,80.0,0.0,5.230900347999523,5.229415508000002
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep17__c635e18ed37f4d94,swiss_roll_with_hole,conventional,sigma_0.01,0.01,17,1820871787.0,42,success,True,True,0.26568748452255075,0.7463768162566202,0.9544846050870147,141.0,62.0,79.0,79.0,0.0,79.0,0.0,0.029039021000244247,0.029022940999993807
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep17__0fd119814c751fd5,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,17,1820871787.0,42,success,True,True,0.6501338909046449,2.133916164823051,0.9544846050870147,125.0,46.0,79.0,79.0,0.0,79.0,0.0,5.239074604999587,5.2384244650000085
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep18__5421584c992db48b,swiss_roll_with_hole,conventional,sigma_0.01,0.01,18,87547744.0,42,success,True,True,0.2960523384656568,1.185452365128774,0.9553770638107988,143.0,61.0,82.0,82.0,0.0,82.0,0.0,0.03046911299952626,0.030467493000003287
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep18__0bea9cd97c044c33,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,18,87547744.0,42,success,True,True,0.5872474760626396,1.1919833747431827,0.9553770638107988,126.0,44.0,82.0,82.0,0.0,82.0,0.0,5.150727733999702,5.149234991
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep19__bb31037cda4cb33d,swiss_roll_with_hole,conventional,sigma_0.01,0.01,19,1799826012.0,42,success,True,True,0.3941965553505131,2.192863678508946,0.9535921463632308,135.0,58.0,77.0,77.0,0.0,77.0,0.0,0.035694918000444886,0.03564580600000511
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep19__0a258dcf25d6cef9,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,19,1799826012.0,42,success,True,True,0.4486848847041607,1.2935494084227264,0.9535921463632308,118.0,41.0,77.0,77.0,0.0,77.0,0.0,5.243892655000309,5.242878339000001
