edge_id,dataset_id,source_cover_id,target_cover_id,step_type,delta_n,delta_p,comparison_role,comparison_status,bottleneck_extended_pd,wasserstein_extended_pd,delta_V,delta_E,delta_beta1_graph,delta_beta1_nerve,ineligibility_reason
IB2_EDGE__digits_1797x64_scaled16__L05_P030__L05_P050,digits_1797x64_scaled16,L05_P030,L05_P050,overlap_step,0,0.2,ib2_adjacent,evaluated,0.3529930342761308,4.247951492159974,5,5,0,0,
IB2_EDGE__digits_1797x64_scaled16__L05_P030__L10_P030,digits_1797x64_scaled16,L05_P030,L10_P030,resolution_step,5,0.0,ib2_adjacent,evaluated,0.3529930342761308,5.612494898255459,27,23,0,0,
IB2_EDGE__digits_1797x64_scaled16__L05_P050__L10_P050,digits_1797x64_scaled16,L05_P050,L10_P050,resolution_step,5,0.0,ib2_adjacent,evaluated,0.43200813434093377,6.636081007550405,35,35,1,1,
IB2_EDGE__digits_1797x64_scaled16__L10_P020__L10_P030,digits_1797x64_scaled16,L10_P020,L10_P030,overlap_step,0,0.1,ib2_adjacent,evaluated,0.46965769182631,2.647762427797261,0,3,1,1,
IB2_EDGE__digits_1797x64_scaled16__L10_P020__L15_P020,digits_1797x64_scaled16,L10_P020,L15_P020,resolution_step,5,0.0,ib2_adjacent,evaluated,0.41899704093769485,6.786469412065692,21,21,3,3,
IB2_EDGE__digits_1797x64_scaled16__L10_P030__L10_P050,digits_1797x64_scaled16,L10_P030,L10_P050,overlap_step,0,0.2,ib2_adjacent,evaluated,0.40550718153290777,4.541547032005532,13,17,1,1,
IB2_EDGE__digits_1797x64_scaled16__L10_P030__L15_P030,digits_1797x64_scaled16,L10_P030,L15_P030,resolution_step,5,0.0,ib2_adjacent,evaluated,0.3599643323181946,4.886547090565326,25,23,3,3,
IB2_EDGE__digits_1797x64_scaled16__L10_P050__L15_P050,digits_1797x64_scaled16,L10_P050,L15_P050,resolution_step,5,0.0,ib2_adjacent,evaluated,0.27968171929477326,5.522039233374986,28,27,3,3,
IB2_EDGE__digits_1797x64_scaled16__L15_P020__L15_P030,digits_1797x64_scaled16,L15_P020,L15_P030,overlap_step,0,0.1,ib2_adjacent,evaluated,0.4619139725521002,3.975333635629627,4,5,1,1,
IB2_EDGE__digits_1797x64_scaled16__L15_P020__L20_P020,digits_1797x64_scaled16,L15_P020,L20_P020,resolution_step,5,0.0,ib2_adjacent,evaluated,0.7427290924939405,5.579846354003936,17,2,2,2,
IB2_EDGE__digits_1797x64_scaled16__L15_P030__L15_P050,digits_1797x64_scaled16,L15_P030,L15_P050,overlap_step,0,0.2,ib2_adjacent,evaluated,0.3763516064316178,4.220115122605007,16,21,1,1,
IB2_EDGE__digits_1797x64_scaled16__L15_P030__L20_P030,digits_1797x64_scaled16,L15_P030,L20_P030,resolution_step,5,0.0,ib2_adjacent,evaluated,0.3380569461008127,4.504352308258188,18,14,1,1,
IB2_EDGE__digits_1797x64_scaled16__L15_P050__L20_P050,digits_1797x64_scaled16,L15_P050,L20_P050,resolution_step,5,0.0,ib2_adjacent,evaluated,0.30354195931804373,3.7338446997777703,17,18,1,1,
IB2_EDGE__digits_1797x64_scaled16__L20_P020__L20_P030,digits_1797x64_scaled16,L20_P020,L20_P030,overlap_step,0,0.1,ib2_adjacent,evaluated,0.7614447401369566,5.2965082635004155,5,17,2,2,
IB2_EDGE__digits_1797x64_scaled16__L20_P030__L20_P050,digits_1797x64_scaled16,L20_P030,L20_P050,overlap_step,0,0.2,ib2_adjacent,evaluated,0.40636264177133663,5.22571240189666,15,25,1,1,
