planned_unit_id,historical_source_run_id,dataset_id,method_id,sigma,replicate,r0_clean_match,r0_pert_match,historical_status,reconstructed_status,status_match,structural_fingerprint_match,pullback_identity_match,membership_persisted
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep02,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep02,unit_circle_S1,conventional,0.03,2,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep02,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep02,unit_circle_S1,f_mapper,0.03,2,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep03,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep03,unit_circle_S1,conventional,0.03,3,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep03,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep03,unit_circle_S1,f_mapper,0.03,3,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep04,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep04,unit_circle_S1,conventional,0.03,4,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep04,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep04,unit_circle_S1,f_mapper,0.03,4,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep05,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep05,unit_circle_S1,conventional,0.03,5,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep05,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep05,unit_circle_S1,f_mapper,0.03,5,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep06,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep06,unit_circle_S1,conventional,0.03,6,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep06,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep06,unit_circle_S1,f_mapper,0.03,6,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep07,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep07,unit_circle_S1,conventional,0.03,7,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep07,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep07,unit_circle_S1,f_mapper,0.03,7,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep08,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep08,unit_circle_S1,conventional,0.03,8,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep08,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep08,unit_circle_S1,f_mapper,0.03,8,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep09,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep09,unit_circle_S1,conventional,0.03,9,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep09,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep09,unit_circle_S1,f_mapper,0.03,9,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep10,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep10,unit_circle_S1,conventional,0.03,10,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep10,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep10,unit_circle_S1,f_mapper,0.03,10,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep11,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep11,unit_circle_S1,conventional,0.03,11,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep11,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep11,unit_circle_S1,f_mapper,0.03,11,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep12,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep12,unit_circle_S1,conventional,0.03,12,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep12,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep12,unit_circle_S1,f_mapper,0.03,12,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep13,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep13,unit_circle_S1,conventional,0.03,13,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep13,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep13,unit_circle_S1,f_mapper,0.03,13,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep14,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep14,unit_circle_S1,conventional,0.03,14,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep14,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep14,unit_circle_S1,f_mapper,0.03,14,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep15,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep15,unit_circle_S1,conventional,0.03,15,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep15,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep15,unit_circle_S1,f_mapper,0.03,15,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep16,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep16,unit_circle_S1,conventional,0.03,16,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep16,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep16,unit_circle_S1,f_mapper,0.03,16,True,True,success,success,True,True,True,True
