matched_index_id,historical_source_run_id,shared_construction_id,axis1_record_id,axis2_record_id,dataset_id,method_id,noise_sigma,replicate_id,clean_dataset_hash,perturbed_dataset_hash,evidence_role
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep10,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep10,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep10,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep10,unit_circle_S1,conventional,0.01,10,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,878ead68355ecff9c050e8a550de534dded497a2250c5965c3a357fe1efeede8,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep10,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep10,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep10,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep10,unit_circle_S1,f_mapper,0.01,10,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,878ead68355ecff9c050e8a550de534dded497a2250c5965c3a357fe1efeede8,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep11,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep11,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep11,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep11,unit_circle_S1,conventional,0.01,11,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,3cf38f09dc882947a991d50638f17f4942bd3da6b6401c9e2e2296edfa369f38,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep11,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep11,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep11,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep11,unit_circle_S1,f_mapper,0.01,11,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,3cf38f09dc882947a991d50638f17f4942bd3da6b6401c9e2e2296edfa369f38,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep12,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep12,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep12,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep12,unit_circle_S1,conventional,0.01,12,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,78791fe3936f0a15c58dc0ad45533df66b1f71eaaf091fe99e205780c48b56af,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep12,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep12,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep12,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep12,unit_circle_S1,f_mapper,0.01,12,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,78791fe3936f0a15c58dc0ad45533df66b1f71eaaf091fe99e205780c48b56af,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep13,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep13,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep13,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep13,unit_circle_S1,conventional,0.01,13,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,74d7f12d574e47c3ccb520a9ef66e420ed4e12ef3c2b650cc592a3a4284f628f,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep13,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep13,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep13,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep13,unit_circle_S1,f_mapper,0.01,13,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,74d7f12d574e47c3ccb520a9ef66e420ed4e12ef3c2b650cc592a3a4284f628f,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep14,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep14,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep14,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep14,unit_circle_S1,conventional,0.01,14,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,78cbd7f85d29f984bf48404cb6f8adc895e5625eba374baaa83beeb6f79995cd,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep14,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep14,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep14,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep14,unit_circle_S1,f_mapper,0.01,14,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,78cbd7f85d29f984bf48404cb6f8adc895e5625eba374baaa83beeb6f79995cd,retrospective_axis2_derivation
