planned_unit_id,campaign_category,dataset_id,method_id,noise_sigma,replicate_id,construction_time_seconds,axis1_metric_time_seconds,axis2_metric_time_seconds,wall_time_seconds,cpu_time_seconds,peak_memory_bytes
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep24,circle_retrospective,unit_circle_S1,conventional,0.01,24,0.042483251000248856,0.0,0.040469365999797446,0.08324811800002863,0.49945692500000405,621316
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep24,circle_retrospective,unit_circle_S1,f_mapper,0.01,24,4.68757252200021,0.0,0.044298829000126716,4.732125804000134,5.758467177,613539
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep25,circle_retrospective,unit_circle_S1,conventional,0.01,25,0.0478664550000758,0.0,0.03978314200003297,0.08797616699985156,0.5277713149999954,649449
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep25,circle_retrospective,unit_circle_S1,f_mapper,0.01,25,5.353936141999839,0.0,0.04028391199972248,5.394628670000202,6.405421103999998,611386
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep26,circle_retrospective,unit_circle_S1,conventional,0.01,26,0.03894288499986942,0.0,0.044493826999769226,0.08373586100015018,0.5021066250000104,608009
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep26,circle_retrospective,unit_circle_S1,f_mapper,0.01,26,8.00695596100013,0.0,0.03791688100000101,8.045127355999739,9.020633091999997,613923
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep27,circle_retrospective,unit_circle_S1,conventional,0.01,27,0.036509860000023764,0.0,0.03832555700000739,0.07504361299970697,0.4500734449999868,598440
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep27,circle_retrospective,unit_circle_S1,f_mapper,0.01,27,5.186771193000368,0.0,0.037172276999626774,5.224214875000143,6.221528055999983,612730
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep28,circle_retrospective,unit_circle_S1,conventional,0.01,28,0.03529908100017565,0.0,0.03677316900029837,0.072298137999951,0.433676657999996,625847
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep28,circle_retrospective,unit_circle_S1,f_mapper,0.01,28,5.957749736000096,0.0,0.03760655999985829,5.995568117999937,6.99622955800001,614420
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep29,circle_retrospective,unit_circle_S1,conventional,0.01,29,0.035990872999718704,0.0,0.035813385999972525,0.07202328500034128,0.43201281000000336,621199
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep29,circle_retrospective,unit_circle_S1,f_mapper,0.01,29,5.8507729399998425,0.0,0.04506099499985794,5.896055726000213,6.931209604000003,612985
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep30,circle_retrospective,unit_circle_S1,conventional,0.01,30,0.04435989400008111,0.0,0.044641670000146405,0.08923752300006527,0.5348404399999822,625915
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep30,circle_retrospective,unit_circle_S1,f_mapper,0.01,30,10.253709850999712,0.0,0.037142639999729,10.291091123000115,11.277264970000004,614228
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep01,circle_retrospective,unit_circle_S1,conventional,0.03,1,0.03723028600006728,0.0,0.039486776999638096,0.07693444599999566,0.46156478999998285,700197
